事件标题,事件内容
美副总统彭斯也陷“邮件门”：私邮处理敏感信息，还遭黑客袭,据美国《印第安纳波利斯星报》3月2日报道，美国现任副总统麦克·彭斯担任印第安纳州长期间，偶尔在讨论敏感事件及国土安全问题时使用私人邮箱处理公务，且该账户去年曾遭到黑客攻击。报道称，2016年夏天，不明黑客侵入了彭斯在美国在线（AOL）网站上的邮箱账户，以彭斯名义向各处发送假消息，称其在菲律宾旅行期间遭遇抢劫，现金、信用卡和手机被抢。彭斯本人随后发信，向收件人道歉，称其一切安好。在遭泄露的一封邮件中，彭斯与其国家安全顾问讨论了有关对一些被以恐怖主义罪名起诉的嫌犯进行羁押的问题，而这些信息来自美国联邦调查局（FBI）。彭斯的发言人表示，不能将这一事件与前国务卿希拉里·克林顿的“邮件门”事件进行类比，因为彭斯不可能处理到国务卿级别的机密邮件。此外，这名发言人还指出，彭斯使用的是商业公司提供的服务器，而希拉里则是直接把自己邮箱的服务器架设在了自己家里。印第安纳州目前的法律并不明令禁止州长使用私人邮箱。不过，该州法律规定，所有通过州政府工作邮箱处理的公务相关邮件都将被强制保存并向民众公开，而如果一名政府官员使用私人邮箱处理这些信息，那相关邮件就将有可能被选择性地隐匿并删除。英国《卫报》报道称，一些美国网友抓住彭斯选择的邮件服务商来调侃现年57岁的副总统彭斯。由于AOL在美国被视为落后、过时的互联网公司代表，一些网友表示使用AOL邮箱的彭斯“和我们想的一样，确实是个老爷子了”。
中情局巨型“黑客”武器库遭曝光，苹果安卓加密系统均被突破,据《纽约时报》3月8日报道，“维基揭秘”刚刚发布了被认为属于美国中情局的8700余份秘密文件，其中包括中情局（CIA）大量网络黑客行动的细节信息。文件显示，中情局开发了诸多黑客工具，如各种恶意软件、病毒、木马、恶意远程控制系统和相关文档，以秘密入侵个人使用的智能手机、电脑甚至智能电视等多种常用电子设备。中情局黑客武器项目庞大，英国也参与研发据《华尔街日报》9日报道，“维基揭秘”披露的文件中包含中情局的约500个项目，每个项目都附带各自的子项目、恶意软件和黑客工具。据悉，如今世界市场上普遍流行的安卓、Windows、苹果iOS、OSX和Linux等操作系统，以及互联网路由器等网络节点，均是中情局黑客工具的针对目标。新华社8日报道，截至2016年年底，中情局网络情报中心拥有超过5000名员工，总共设计了超过1000个木马、病毒和其他“武器化”恶意代码。美国白宫新闻发言人斯派塞8日拒绝证实这些文件的真实性，但称特朗普对中情局文件被公开一事表示非常担心。不过，CIA前雇员爱德华·斯诺登9日对俄罗斯卫星网表示，找不到可以怀疑这些文件真实性的地方。《华盛顿邮报》8日称，有知情人士表示，美国联邦调查局正在酝酿一场重大“狩猎活动”，以抓捕泄密者。“维基揭秘”并未公布其文件来源，但在其声明中表示，这些文件是从中情局网络情报中心“一个孤立、高度安全的网络中”获取，它们“在曾为政府工作过的黑客和承包商中间以未经授权的方式流传，其中一人把部分档案提供给了‘维基揭秘’。”美国一名前情报官员对《华盛顿邮报》表示，这一泄露事件“非常危险”，可能会影响美国与澳大利亚、加拿大、新西兰、英国等盟国情报机构的合作。英国BBC8日报道称，除了中情局自行开发的恶意程序外，英国军情五处也可能参与到程序开发中。BBC还引述被揭秘的文件称，除了位于美国弗吉尼亚州兰利的中情局总部外，美国在其驻德国法兰克福领事馆还建立有第二个网络情报基地，负责对欧洲、中东及非洲的网络间谍活动。被揭秘的文件显示，在法兰克福领事馆内行动的中情局黑客被授予外交护照并由美国国务院提供掩护，一旦顺利抵达法兰克福，他们就无需接受进一步边界检查即可前往申根协议规定的边界开放国家。路透社8日报道称，德国政府当天表示正在严肃应对“维基揭秘”最新曝光的内容，外交部正就此事与美国当局密切接触。2013年，“棱镜门”事件揭露美国对德国的监听行为后，曾引发两国之间的外交风波。主要智能手机均存漏洞，个人通信记录被直接监控继斯诺登事件后，美国中情局庞大的网络间谍工具箱也被公开。但是，中情局显然不是这一事件最大的受害者，而是通过各种智能终端深入互联网世界的每一个普通人。综合各大媒体对于“维基揭秘”披露的中情局黑客工具箱的报道，目前可知其网络间谍行为主要有：开发可远程控制智能手机的黑客软件，能绕过手机加密系统获取Signal、微博、WhatsApp、Telegram等社交软件的通信内容及通讯记录；试图侵入汽车的电子系统，此举可能与暗杀行动相关；常见的杀毒软件对中情局的手段无效；中情局拥有一个黑客软件图书馆，其中的软件“偷自”俄罗斯和其他一些国家，从而在攻击时留下“假指纹”，误导调查人员。BBC科技事务记者马克·沃特分析说，最引人关注的是中情局对付苹果和安卓智能手机的方式。《华盛顿邮报》称，一方面，如今绝大部分智能手机都使用iOS与安卓操作系统；另一方面，苹果和谷歌公司一直重视保护其系统安全。如果“维基揭秘”爆料属实，那么将再度激化科技巨头与中情局之间的紧张关系。2016年年初，美国联邦调查局要求苹果公司为其开发一个可以解锁苹果手机的软件，以协助调查犯罪嫌疑人使用过的苹果手机，但苹果公司拒绝了这一要求，认为“这个要求太过分，会威胁到所有苹果手机用户的安全”。虽然双方围绕这一要求争执不下，但联邦调查局最终找到了一个可以解锁这部手机的第三方。《纽约时报》今年2月23日报道，虽然美国政府并未指明是谁帮助其破解了苹果手机的密码系统，但之后有报道称，是一家名为Cellebrite的以色列安全公司帮助了联邦调查局。美国“TC”网站9日报道称，苹果公司首先做出反馈，表示“维基揭秘”公开的文件中所指苹果系统的大多数漏洞已经在其最新的版本中进行了修补，公司正在努力解决新的漏洞。而谷歌公司9日也表示，已经准备修复文件披露的大部分安卓系统漏洞。“维基揭秘”的相关文件还特意指出，专门针对三星智能电视开发的代号为“哭泣的天使”（WeepingAngel）的黑客程序，可以让被感染的电视设定为“假关机”模式，使用户误以为电视处于关机状态。但实际上，该电视将在“假关机”模式下转为录音模式，记录房间内的对话，并通过互联网发送至一个隐秘的中情局服务器。此外，据《华尔街日报》消息，“维基揭秘”披露的主要黑客程序还包括“冲击钻”、“精致美食”、“蜂房”、“阴影”等。其中，“精致美食”欺骗性很强，看上去不过是在运行无害程序，比如播放幻灯片或玩电脑游戏。而“蜂房”以互联网路由器为目标，能够在受感染的电脑系统间建立通讯。
阿桑奇：将向科技公司提供中情局黑客工具详情，以便修补漏洞,新华网伦敦3月9日消息，“维基揭秘”网站创始人朱利安·阿桑奇9日说，将优先为科技公司提供更详细的美国中央情报局黑客工具信息，以便它们能及时修补软件漏洞，防止黑客入侵。“维基揭秘”网站7日发布了近9000份据称属于美国中央情报局的机密文件，显示中情局网络情报中心拥有超过5000名员工，总共设计了超过1000个黑客工具。这些工具可秘密侵入手机、电脑乃至智能电视等众多智能设备。比如，三星智能电视被攻击后能变为可录音的窃听器。阿桑奇9日通过网上直播平台召开新闻发布会，说“维基揭秘”已经决定与科技公司合作，向这些公司提供更多该网站掌握的中情局黑客工具技术细节，让这些公司尽快开发和发布相关软件补丁，确保用户的信息安全。不过，他并未具体说明如何与这些公司开展合作。阿桑奇还指出，他们掌握了更多关于中情局网络武器库的情况，这些信息很快就会被公布出来。他说，中情局对于如此敏感的机密材料都保护不周，非常无能。中情局一名发言人此前表示，该局不会对“维基揭秘”披露的文件的真实性与内容作评论。针对“维基揭秘”的爆料，苹果公司称大部分漏洞最近已被修复，建议用户升级至最新的操作系统版本；三星表示，正在紧急研究这一事件；微软做出与三星类似的表态。“维基揭秘”网站曝光中情局的黑客工具项目后，美国有线电视新闻网援引多名匿名美国官员的话说，美国联邦调查局与中情局将合作展开调查，主要调查文件是由中情局雇员还是外部承包商外泄给“维基揭秘”，以及“维基揭秘”是否还有其他未发布的文件。阿桑奇2006年创建“维基揭秘”网站。2010年，这家网站公布了大量美国政府有关阿富汗战争和伊拉克战争的秘密文件，让美国的外交形象遭遇前所未有的打击。2010年11月，瑞典检方指控阿桑奇当年8月在瑞典逗留期间涉嫌性侵两名女子，当时身处英国的阿桑奇遭英方逮捕。2012年5月，英国最高法院裁定引渡阿桑奇至瑞典。同年6月，阿桑奇在保释期间进入厄瓜多尔驻英使馆寻求庇护至今。（原题为《“维基揭秘”称将向科技公司提供中情局黑客工具详情》）
中情局“黑客工具”曝光，网络专家支招：摄像头上蒙胶带,近日，“维基揭秘”披露美国中央情报局（CIA）实施大规模网络攻击和间谍活动一事持续发酵，引起各国政府及国内外媒体普遍关注。据《华尔街日报》9日报道，“维基揭秘”披露的文件涉及中情局约500个项目，每个项目都附带各自的子项目、恶意软件和黑客工具，可针对目前世界市场上普遍流行的安卓、Windows、苹果iOS、OSX和Linux等操作系统，以及互联网路由器等网络节点发起黑客攻击。英国广播公司（BBC）8日报道称，目前最引人关注的是中情局对付苹果和安卓智能手机的方式，因为中情局掌握的黑客工具可以绕过这些智能手机的加密系统获取Signal、微博、WhatsApp、Telegram等社交软件的通信内容、以及包括通讯记录在内的诸多个人信息。实际上，物联网时代个人信息安全并非一个新鲜的话题，但“维基揭秘”所揭露的如此大规模的、由CIA操控的针对普通大众的网络间谍行为，再次将个人电子信息安全的问题置于关注的焦点。西方多家媒体也纷纷邀请网络安全专家，就如何保护个人电子信息安全支招。哈佛大学著名信息安全专家布鲁斯·施奈尔8日在《华盛顿邮报》发文表示，目前储存在“云端”（服务器端）的数据很容易受到黑客攻击并被曝光，因此保护个人隐私有几点简单却需要格外注意的方法。首先，不要选择容易猜得到的密码，因为最容易记住的密码往往也是最容易被破解的。施奈尔表示，相比于专业的恶意程序，破解密码才是黑客获取目标邮箱和隐私记录的主要途径。2014年的好莱坞“艳照门”中，黑客就是运用这一手段从icloud上非法获取了明星们的照片。所以，施奈尔建议使用随机性较高的，需要记在备忘录里的密码。其次，使用双重身份验证功能，比如用户在输入密码之后，还需输入一个一次性的手机验证码才能通过验证。再次，不要在多个网站上重复使用同一个密码。此外，施奈尔强调不要使用系统提供的密码找回问题，而应自己设置找回密码需要回答的问题，然后选择一个随机的答案记下来，作为找回密码的答案。2008年美国大选时，共和党副总统候选人萨拉·佩林的邮箱被“黑”就是黑客通过邮箱的密码找回问题来重置密码的。最后，施奈尔强调还要对“钓鱼攻击”保持警惕。“钓鱼攻击”往往是黑客发给用户的一个含有钓鱼网站链接的引诱性邮件，用户一旦点击链接就会登上一个假的钓鱼网站，个人信息会因此遭到窃取。这种钓鱼攻击可以绕开双重身份验证，2016年美国大选中希拉里的竞选主席波德斯塔的邮件泄露事件，以及前国务卿鲍威尔的邮件泄露事件都是源于“钓鱼邮件”。施奈尔总结称，网络时代的信息防护总是防不胜防，但有一个总体原则：转移到线下的数据越多，用户就越安全。锡根大学的物联网安全专家米歇尔·舒恩9日则在《德国之声》网站发表文章，教读者在物联网时代防黑客的妙招。舒恩建议，读者首先应列出一个清单，弄明白家里的哪些设备已经联网，并进行设置，以防联网设备在用户不知情的情况下将个人及家庭信息上传至网络。通过物联网搜索引擎Shodan.io，人们可以查到哪些设备和因特网联网，并且如何进行保护。物联网搜索引擎Shodan.io，可以查到哪些设备和因特网联网。其次，舒恩建议读者应经常对软件进行升级。操作系统中会存在许多漏洞，而认真负责的公司会经常检查自己的软件，发现漏洞后就进行升级。因此，读者应注意设备厂家是否提供软件更新。最后，舒恩提醒读者给智能手机和手提电脑的网络摄像头和麦克风贴上胶带，许多网络专业人士就是这么做的，包括知名网络公司脸书的创办人扎克伯格。
太原一大学生兼职网络刷单被骗1.7万，求助黑客又被骗9千,遭遇电信诈骗后，太原一名大学生不但没报警，反而选择向网络“黑客”求助。结果，原先被骗的1.7万元没追回来不说，他又被“黑客”骗走9千多元。3月12日，太原公安杏花岭分局向社会通报一起少见的电信诈骗“损补刀”案件。目前，涉案的“黑客”已被警方刑事拘留。去年12月28日，在太原上大学的王某应聘了一份网络“刷单”兼职工作。对方称，在完成指定的虚拟交易后，王某可赚取5%左右的佣金。此后，王某提交了申请表，开始“刷单”。起初，任务完成得很顺利，王某也能按时拿到“返利”。12月29日，当王某完成一笔8000余元的“任务”后，客服突然说系统故障，无法返钱，只有重新“刷单”才能一并返款。此时，王某尽管感觉事情有些蹊跷，但为了拿回本金，还是继续“刷单”。最终，在被对方骗走1.7万元后，王某毫无悬念地被对方“拉黑”。自己的1.7万元被骗，按常理，王某应该选择报警。而他，却没有这么做。被骗后，王某在网上搜索“兼职被骗怎么追回资金”，选择请求网络“黑客”帮他追回钱财。此后，王某按照“黑客”要求，支付2300元的“购买黑客账号费”和“软件激活费”。支付上述钱款后，王某又按照“黑客”的要求，重新用自己的身份证、银行卡、手机号等信息，新注册了一个网上购物的账户。随后，“黑客”又让王某卸载了自己电脑上的相关支付软件，说新账户只能在一个地方登录，否则就会影响追款的顺利进行。很快，王某就收到一条带有验证码的手机短信，说他有一笔网购消费等待支付。王某赶紧询问“黑客”怎么回事。“上面写的是支付，实际是我帮你追回来的第一笔钱，完了就会返回到你的账户……”因为这样一句话，王某对“黑客”信任有加，并迅速将付款验证码发给了“黑客”。此后几小时内，王某的账户被“黑客”陆续消费了7300元。直到此时，他才如梦方醒。接连被骗后，王某终于想起向警方求助。接到报案后，今年2月底，警方经缜密侦查，终于锁定网络“黑客”高某的踪迹。3月2日，民警赶赴山东省济宁市嘉祥县，将正在家中诈骗广东、福建等地受害人钱财的嫌疑人高某抓获。经查，2016年7月以来，高某利用电信诈骗受害者急于追回资金的心理，在网上发布可以通过“黑客”技术追回资金的虚假信息。此后，高某再向受害人索要数百元至数千元不等的“软件激活费”“购买黑客账号费”等费用，致使很多电信诈骗受害者蒙受二次损失。警方初步查明，高某涉案30余起，诈骗金额近20万元。目前，高某已被刑事拘留，案件在进一步办理中。（原题为《太原大学生兼职网络“刷单”被骗1.7万元求助“黑客”又被骗9千多》）
两黑客“黑走”杭州一公司138万元“惊呆”：想把钱退还,澎湃新闻（www.thepaper.cn）16日从杭州萧山区警方获悉，当地警方日前侦破1起特大网络盗窃案。该案涉案金额138万余元，系2名“黑客”伙同另2人利用平台公司漏洞，黑入平台后套取资金。目前4名犯罪嫌疑人中，3人已落网，1人在逃。值得注意的是，在这起特大网络盗窃案中，黑走百万巨款的两名“黑客”均系“自学成才”。发现得手金额如此巨大后，他们也惊呆了，吓得想给受害公司退钱。嫌疑人利用黑客技术把网络平台的钱转到自己卡内。本文图均为萧山公安图今年1月12日上午，萧山警方接到北干街道某平台公司负责人报案称，当天上班后，突然发现公司账户138万余元资金消失。案发后，杭州萧山公安分局刑侦大队立即开展调查，发现账户资金被转入一个可疑账户，于是立即与杭州市公安局反通讯（网络）诈骗中心联系，启动快速止损机制，对涉案账户进行紧急冻结，在接到报案后一小时内成功冻结资金100余万元。萧山刑侦大队随后会同网警大队、北干派出所成立专案组，对涉案账户以及赃款流向进行分析，专案组迅速锁定两名可疑人员，通过侦查，发现一名嫌疑人身在广东东莞，另一名嫌疑人身在湖南长沙。1月17日晚，在掌握大量证据，明确部分嫌疑人身份和落脚点后，警方成功抓获犯罪嫌疑人邓某（21岁，广东人），胡某（18岁，湖南人）。“我知道这回事情闹大了，警察一定会找上门，没想到你们来得这么快。”落网后，邓某对民警说。通过后续侦查，专案组又明确了另外2名涉案嫌疑人的身份，分别是陈某（21岁，湖南人），陈某德（22岁，广东人），并对2名嫌疑人采取刑拘措施上网追逃。3月1日，嫌疑人陈某迫于强大压力向警方投案自首。3月3日，陈某被专案组侦查员押解回杭州。据警方介绍，落网的3名嫌疑人中，掌握一定黑客技术的主要犯罪嫌疑人是邓某和陈某。邓某，21岁，偏瘦，不爱说话，高中肄业后在家帮忙看店，平时喜欢钻研电脑技术，并在网上认识了一批“同道中人”，其中一个便是陈某。陈某，电子信息学院大专肄业，具有一定电脑技术基础。两人常在网上交流，搜索教程自学黑客技术，并从中发现赚钱门道，主要是通过网络挖掘一些涉及金融、积分、话费等交易平台漏洞，随后利用专门软件，通过平台漏洞把平台内的资金、积分、话费转走。警方在邓某家中搜出的八万元赃款。1月12日凌晨，陈某通过QQ联系邓某，告诉他新发现一个平台（报案人公司）漏洞，两人当即约定立即在湖南和广东两地进行操作。作案过程中，陈某找来胡某做帮手，邓某找来陈某德（在逃）做帮手，由胡某和陈某德负责准备几张身份证和相应的银行卡，用于转移赃款，陈某和邓某负责“黑”入平台，利用漏洞套取平台资金。当天凌晨，邓某从涉案平台公司套取130余万元，陈某套取6万余元。邓某和陈某德立即去银行提现16万元，互相平分。事后，邓某和陈某一通气，面对同伴告知得手130余万元后，陈某惊呆了。据邓某向警方陈述，陈某得知消息后非但没有开心，第一句话反而是“你怎么搞了这么多，浙江警察很厉害的”。此时，邓某也后悔了，就和陈某商量把钱退还给受害公司，希望他们不要报警，当两人准备再次操作时，发现剩下的赃款已全部被警方冻结。接下来的日子里，邓某和陈某过得提心吊胆，邓某拿到的8万元赃款一直放在家里没敢动，直到被民警抓获。目前嫌疑人邓某、胡某已被依法逮捕，陈某被刑事拘留，案件正在进一步侦办中。
美司法部起诉4名俄黑客，指其入侵上亿雅虎账号窃取官员信息,从去年美国大选，美国就频繁指责俄罗斯黑客干预美国大选，前总统奥巴马还曾经为此驱逐俄罗斯情报官员，如今美俄因网络黑客，再起风波。据“美国之音”16日报道，美国司法部15日宣布，起诉4名入侵雅虎公司系统的俄罗斯黑客，包括俄罗斯情报人员，他们被指涉嫌入侵上亿个雅虎用户账号。美国司法部助理部长玛丽·麦科德（MaryMcCord）当天早上在记者会上宣布这桩起诉案。“被告包括两位俄罗斯联邦安全局、俄罗斯情报部门跟执法部门的官员，以及两名黑客罪犯，他们共同犯下网络入侵的罪行。德米特里·多库恰耶夫（DmitryDokuchaev）和伊戈尔·萨许钦（IgorSushchin）两人都是俄罗斯联邦安全局的官员，保护、指挥、帮助及雇佣犯罪黑客，通过对美国和其他地区的网络入侵来搜集信息。亚历克斯·贝兰（AlexseyBelan）和克瑞·巴拉托夫（KarimBaratov）两人则入侵提供电子邮件跟网络服务的美国公司的电脑，借此能够一直未经许可的进入那些电脑里面，包括个人用户的资料，以及他们通讯录中的帐户。”玛丽·麦科德称。其中，克瑞·巴拉托夫14日已经在加拿大被捕。这4个人涉及的是从2014年1月开始的一系列入侵雅虎用户账号的行为。司法部助理部长麦科德说：“拥有执法责任的俄罗斯联邦安全局官员进行干涉与指使，让这样的行为更加恶劣。”2016年9月，雅虎公布，在2014年，有5亿个帐户曾遭到某国家支持的黑客入侵。12月14日，雅虎再宣布2013年有超过10亿个帐户被入侵。当时雅虎说并不清楚黑客的身份，不过现在司法部的起诉证明了是俄罗斯黑客所为。据悉，这些被黑的资料包括雅虎用户的姓名，电邮地址，电话号码，生日等。值得注意的是，用户所设置的忘记密码时回答的问题，也一并落入了黑客手中。黑客可以利用这些个人资料来推算用户其他电邮账号的登入方式或是密码。司法部助理部长麦科德表示，这些被黑的雅虎账号当中，有许多是属于美国联邦政府以及美军人员，账号数量约超过150万个。包括白宫官员、国会议员与国会助理，还有CIA、FBI、NSA（国家安全局）的员工等。这当中许多人是利用雅虎作为他们政府电邮账号的备用账号，也就是如果忘记了政府电邮账号的密码，就会寄一个密码到他们的雅虎账号当中去。这显示，这些人的政府电邮信息也可能落入黑客手中了。报道指出，美国特朗普总统上台之后，曾表示希望与俄罗斯保持良好关系，但鉴于本次司法部起诉人员中还包括俄罗斯情报官员，是否会对美俄两国关系投下变数，有待观察。
深圳端掉“午夜幽灵”电诈团伙，主犯用毒品操控90后黑客,3月21日，360公司联合深圳警方通报了一起新型电信网络诈骗案：一名新加坡籍主犯利用毒品操控一90后黑客破解360OS云服务平台漏洞，进而远程锁定受害人手机，通过其在某电商“白条”功能消费和信用贷款，把钱款提现窃取。该团伙作案时十分隐蔽，宛如“午夜幽灵”。警方表示，该犯罪团伙为躲避追查作案地点经常变换，通常在深夜下手，选择不需身份证登记的家庭小旅馆居住。受害人“网银四大件”被操控，犯罪分子深夜接管账户2017年2月3日，深圳市民何先生报案称，自己手机被远程锁定，其在某电商平台的账户凌晨被盗刷，造成损失53000元。据深圳警方通报，犯罪分子首先掌握了受害者网银四大件（身份证、银行卡号、密码、手机号），通过技术手段尝试盗取其手机云服务账号，由于受害者使用的密码较为简单，云服务账号最终被成功登录。“犯罪分子利用云服务‘短信回复’功能回复绑定运营商副号业务的确认短信，使得受害者何先生的手机号成为犯罪分子的副号。”深圳市公安局福田分局刑警大队副大队长罗成钢分析说，犯罪分子最终利用云服务“销毁资料”功能强迫受害者手机处于离网状态，从而接管了受害者的短信验证码，掌握可盗刷资金的关键信息。经过多方线索摸排，2月26日晚，深圳警方在大连经济开发区和金州区先后抓获犯罪嫌疑人韩某（1978年、男、新加坡）、陈某（1990年、男、中国广西）、杨某（1975年、男、中国广西）。缴获笔记本电脑一台、作案手机若干部、20余张作案银行卡。“为了让受害者难以察觉，犯罪分子专挑深夜作案，整个过程不需要与受害者有任何接触，受害者也无需回复任何短信，防范十分困难。”360信息安全部负责人高峰透露，事发后，360向何先生全额赔付损失，并立即对360OS云服务进行安全升级，关闭“短信回复”功能，为“远程销毁资料”功能开启密码和短信验证码双重验证机制，彻底杜绝了风险隐患。高峰提醒，遇到账户资金被盗刷后，受害者应及时与相关金融机构进行沟通，以便尽快止付，减少损失，保留手机等设备中的一切相关信息，向当地公安机关报案。90后黑客因毒品被操控犯罪，诈骗目标平均研究7小时据警方通报，新加坡籍犯罪嫌疑人韩某是该犯罪团伙头目，常年在中国大陆活动，他通过网络社交群获取大量公民银行卡、交易密码、身份证号、预留手机号等信息。韩某交代，他常年在大连生活，并包养着一名情妇，生意失败后开始从事诈骗，从广西找来陈某和杨某做帮手。在犯罪团伙中，陈某主要负责实施银行卡盗刷，研究各品牌智能手机和运营商业务；杨某则负责去ATM机取款，每次从取得的现金中分取20%的利益。“陈某是一名90后黑客，技术很强，盗刷能否成功他起着至关重要的作用。”警方透露，韩某为让陈某心甘情愿为他卖命，长期用毒品对其进行控制，“年纪尚轻的陈某被捕时，已被毒品侵蚀得无法自拔。”经警方审讯发现，此犯罪团伙对多家手机云服务的功能非常了解。自去年11月起，陈某便着手研究360OS云服务，结合已掌握的网银四大件信息，企图寻找作案机会，经过2个多月的研究和测试后才开始作案。“犯罪团伙选择作案目标非常谨慎，实施盗刷前，对每个作案目标各种信息的梳理研究时间平均达到7小时。”罗成钢表示，犯罪团伙被抓时，还在测试另一知名国产手机品牌云服务的盗刷方式。不仅如此，该犯罪团伙对各种运营商业务、银行转账系统进行了深入研究。就在作案前，陈某还多次致电运营商，对副号绑定无法生效的各种情况进行咨询。“这是一起依托于个人信息非法交易产业链，结合了手机云服务、运营商副号业务及互联网金融服务的高科技、高智商、跨平台、遥控式的新型电信网络诈骗犯罪。”警方表示，犯罪团伙具备很强的反侦察能力，为躲避追查作案地点经常变换，通常在深夜下手，选择不需身份证登记的家庭小旅馆居住。360公司高级副总裁张备表示，随着执法机关打击电信诈骗的力度增加，诈骗团伙也在变得越来越高度专业化，未来跨平台、跨厂商、跨业务链条的高度专业化分工的犯罪形态会越来越多，“打击这种新型犯罪，只靠某一家厂商肯定不行，需要所有人的参与和努力。”
姚劲波回应简历“泄露门”：不是我们干的，是黑客,3月23日至3月26日，博鳌亚洲论坛在海南博鳌召开。58集团CEO姚劲波在会前接受媒体访问。58集团CEO姚劲波在博鳌论坛期间首度回应“简历数据泄露门”。姚劲波表示：“并不是我们泄露了信息，而是在数据越来越重要的时代，黑客会想尽办法攻击你的漏洞，这就需要企业不断通过新技术把这种漏洞堵住，以保障用户的数据安全。”近日，有淘宝卖家低价大量出售58同城全国简历数据，使得58同城的信息安全问题受到业内关注。从58同城2月底公布的2016年年度财报来看，公司预计招聘业务将在2017年增长50%左右，成为58集团旗下最大的业务，而“简历泄露门”发生以后，外界猜测会对公司这一块业务造成不良的影响。在论坛前的媒体交流会中，姚劲波向记者表示，从业务结构来看，目前58集团的房地产收入已经占比超过四成，并且在2016年的第四季度租房业务的收入已经首度超过之前最为核心的招聘业务。“去年底开始一系列政策调整带来的房地产市场的波动，对58集团的业务有重要的影响，我们对2017年房地产市场会是比较谨慎看待，预计房产业务收入今年内不会增长。”58集团CEO姚劲波向媒体表示。姚劲波称，随着中国房地产市场越来越火，房产租售业务在58集团中的比重越来越高，因为这种增长，房地产的收入在58集团总收入中的占比已经达到40%以上，所以房地产市场的起伏对我们会有很大的影响。“在去年‘9·30’新政出台以后，我们感觉到交易量的下降，所以去年年底做了比较悲观的预测，认为房地产业务在今年不会继续增长。”姚劲波说道，“但从今年前3个月来看，这个影响没有我们想象得那么大。”姚劲波解释，一方面中小城市的房地产市场随着大城市限购落地以后，反而成为了资金溢出的受益者，所以58集团来自三线及以下城市的房产收入得到了提升；另一方面，大城市市场也没有想象得那么糟，北京市场在今年3月迎来了一波“小阳春”。今年“两会”之后，3月17日，包括北京、广州、石家庄、郑州在内的多地连夜发布房地产调控政策。北上广深四个一线城市全部执行“限房又认贷”政策。成为2016年“9·30新政”以来，又一波调控措施的密集落地。姚劲波指出：“3月17日晚这一波措施出来以后，会有什么结果，我们还在观察。整体上，58对今年房地产市场会是比较谨慎看待，维持去年底的预测，在今年房产收入难以继续增长。集团将主要依赖其他业务板块的驱动。”姚劲波向澎湃新闻记者表示，由于收购安居客给公司带来了很好的协同效应，58集团还会继续在垂直领域寻找合适的标的和收购机会。2月底，58集团旗下上市公司58同城公布了未经审计的2016年财报。报告显示，58同城全年营收为11.422亿美元(约合75.921亿元人民币)，同比增长69.5%。以非美国会计师准则(non-GAAP)计算，2016年归属于58同城公司的净亏损为3040万美元，2015年全年净亏损为1.819亿美元。姚劲波向记者表示，目前集团的亏损主要来自O2O业务“58到家”和新增的二手交易平台“转转”。“因为这两块业务还在投入期。”姚劲波解释道。姚劲波在交流中还透露，公司有很大的概率会在香港启动房地产业务。“我们看到香港的房产租售市场一直都有着很旺的需求，但却没有一个本地很强的品牌。另一方面，我们不光要服务香港本地客户，随着深圳与香港房价差距的缩小，会有越来越多的内地人会选择居住在香港。我们也瞄准了这类客户群体。”据姚劲波介绍，除了房地产之外，58集团旗下的58到家、家政和速运服务也有望在未来落地香港。
广西男子自学黑客技术盗取个人信息，贩卖获利26万受审,中新网柳州3月27日电3月27日上午，广西柳州市柳江区人民法院公开审理一起涉嫌侵犯公民个人信息罪案件。犯罪嫌疑人覃某通过自学网络渗透技术，获取公民个人信息进行贩卖，获利26万余元人民币。据了解，覃某为广西柳江人，初中辍学。2014年覃某在网上自学网络渗透技术，同年4月，覃某在网上认识谭某(另案处理)后得知，可以利用网络渗透技术获取公民个人信息，并将这些信息卖给谭某。2014年5月起，覃某就开始入侵网站，将获取的公民个人信息以0.4或0.5元每条的价格卖给谭某等人。两年多的时间里，覃某入侵约81个网站，涉及广西、广东、福建、江苏、海南等省份，非法下载公民个人信息1500多万条，涉案金额达26万余元。2016年，覃某获取2016年广西第二次会计从业资格考生信息后，贩卖给谭某。谭某利用考生信息以出售考试真题及答案为由诈骗考生蒙某28960元，蒙某于2016年6月21日向公安机关报案，8月18日覃某在柳江县被公安机关抓获。公诉机关指控覃某在2014年至2016年8月期间，利用自学互联网技术，在家中非法入侵网站，获取个人信息后贩卖，非法获利26万余元，请求法院以非法获取公民个人信息罪追究覃某刑事责任。法庭上，覃某对自己的行为感到后悔，并表示自己本来对网络技术感兴趣，想要从事这方面的工作才学习的，没想到一念之差走上歧途。该案目前正在审理当中，法院将择期宣判。（原题为《广西男子自学黑客技术盗取个人信息贩卖获利26万受审》）
