事件标题,事件内容
飓风熊猫本地提权工具,2014年10月，CrowdStrike发现飓风熊猫这个本地提权工具，飓风熊猫是主要针对基础设施公司的先进攻击者。国外专业人士还表示，该攻击代码写的非常好，成功率为100％。我们知道飓风熊猫使用的是“ChinaChopper”Webshell，而一旦上传这一Webshell，操作者就可试图提升权限，然后通过各种密码破解工具获得目标访问的合法凭证。该本地提权工具影响了所有的Windows版本，包括Windows7和WindowsServer 2008 R2 及以下版本。
赛门铁克揭秘间谍工具regin,2014年11月24日，赛门铁克发布的一份报告称，该公司发现了一款名为“regin”的先进隐形恶意软件。这是一款先进的间谍软件，被称为史上最为复杂的后门木马恶意软件。该软件被用于监视政府机关、基础设施运营商、企业、研究机构甚至针对个人的间谍活动中。
索尼影业公司被黑客攻击,2014年12月，索尼影业公司被黑客攻击。黑客对索尼影业公司发动的这次攻击影响令人感到震惊：摄制计划、明星隐私、未发表的剧本等敏感数据都被黑客窃取，并逐步公布在网络上，甚至包括到索尼影业员工的个人信息。预计索尼影业损失高达1亿美元，仅次于2011年被黑客攻击的损失。
12306用户数据泄露含身份证及密码信息,2014年12月25日，乌云漏洞报告平台报告称，大量12306用户数据在互联网疯传，内容包括用户帐号、明文密码、身份证号码、手机号码和电子邮箱等。这次事件是黑客首先通过收集互联网某游戏网站以及其他多个网站泄露的用户名和密码信息，然后通过撞库的方式利用12306的安全机制的缺欠来获取了这13万多条用户数据。同时360互联网安全中心就此呼吁，12306用户尽快修改密码，避免已经订到的火车票被恶意退票。另外如果有其他重要帐号使用了和12306相同的注册邮箱和密码，也应尽快修改密码，以免遭遇盗号风险。
至少 2/5 的韩国人丢了信用卡信息,在人口 5000 万的韩国，至少有 2000 万人的信用卡信息被盗。这么大规模的泄露不是因为哪个黑客组织技术高超，而是源自个人信用评分公司的员工监守自盗。这名韩国信用评估机构(Korean Credit Bureau)的员工随即被逮捕。他/她从三大韩国银行的内部服务器里调取了这些信息，并转卖给电话营销公司。泄露的个人信息无所不包：姓名、身份证号、电话、信用卡号码、信用卡有效期。这是韩国历史上最严重的信息泄露事件。
疏忽的摩根大通：8300 万用户信息泄露,今年夏天，摩根大通发现黑客控制了 90 多台服务器，目标是 8300 万用户的银行信息。泄密原因直到本月下旬才被披露。根据《纽约时报》的消息，摩根大通只有一台服务器没有采取两步验证的方式。黑客正是通过这台服务器的一个账户进入了其他服务器，盗取信息。入侵之后，摩根大通几个月内都毫无所察。摩根大通这次用事实告诉你，两步验证确实安全了不少，但是一定要给所有的服务器都加上，如果忘了一台就糟糕了。
选票被盗黑客攻击，乌克兰新总统在混乱中诞生 ,波罗申科的得票率遥遥领先前总理季莫申科。48岁的“巧克力大王”波罗申科（PetroPoroshenko）将如愿当上乌克兰总统。即使遇到了选票被盗，黑客攻击等多个意外，乌克兰大选仍如期举行。北京时间26日凌晨，乌克兰大选投票站民调显示，波罗申科在总统大选中击败包括前任总理季莫申科在内的多名竞争对手获胜。这也意味着，乌克兰将很可能诞生一个亲西方的新政府。不过有资深记者指出，“大选可以让基辅政权合法化，但无法让乌克兰回到从前，乌克兰向何处去仍是谜。”出口民调显示波罗申科获胜此次大选是乌克兰自独立以来的第6次总统大选，也被认为是该国独立以来最重要的一次选举。大选有约20名候选人参与角逐。据媒体分析，较为热门的人选包括多布金、季吉普科、季莫申科和波罗申科。在这四人中，相对亲西方的波罗申科和前总理季莫申科呼声较高。一方面，亚努科维奇政府下台后，亲俄派在政坛中失势；另一方面，多个亲俄地区拒绝参加大选，影响了亲俄派的选情。季莫申科现年53岁，曾两度出任乌克兰总理。季莫申科出身乡间自幼丧父，但嫁入权贵之家。1991年，她正式执掌家族生意，成立乌克兰汽油公司。4年后，这家企业改组为乌克兰统一能源公司，垄断乌克兰各地天然气供应，她获称“天然气公主”。但分析认为，季莫申科在今年总统选举中获胜希望并不大，主要原因是她在乌克兰政坛上较大的争议性。在北京时间26日凌晨乌克兰大选第一轮出口民调结果出来后，相对温和的波罗申科宣布自己获得胜利。较之主要竞争对手季莫申科(12.9%)，他55.9%的得票率遥遥领先，基本可以确定无需第二轮选举。“我深信，这次选举将最终给乌克兰带来和平……停止动乱，停止东部匪徒的恐怖主义行为。”波罗申科在25日的投票后说。500万张选票被盗不过，就算顿涅茨克和卢甘斯克地区的选票不被盗，两地的投票率也是可以预见的（低）。两地曾表示拒绝参加乌克兰大选，将联合成立“新俄罗斯”。乌克兰东部不少地区在亲俄罗斯武装力量的阻挠下未能顺利参与选举投票。25日的投票还遭遇了黑客袭击。据基辅邮报报道，乌克兰安全局副局长25日表示，安全局逮捕了一个黑客团体成员。该团体利用特殊设备，企图侵入乌中央选举委员会统计选票的选举分析系统。他说，至少一名黑客正在与当局合作。此外，据今日俄罗斯电视台报道，乌克兰中央选举委员会官员称，为在顿涅茨克和卢甘斯克地区举行总统选举准备的全部500万张选票被盗。两地有暴力活动发生，并造成了人员伤亡。就在今年4月，顿涅茨克州首府顿涅茨克经历“惊天24小时”，与克里米亚“脱乌入俄”相似的剧情正在此重演。同为乌东部大城市的哈尔科夫与卢甘斯克也出现了政府大楼被上千亲俄示威者占领的局面。波罗申科此前接受媒体采访时表示，如果他当选总统，他要去的第一站不是欧盟，不是美国，也不是俄罗斯，而是顿涅茨克，他愿意同当地民意代表进行对话。他说，乌克兰永远不会承认克里米亚公投结果，不会承认俄罗斯对克里米亚的占领。在谈及和俄罗斯的关系时，他说，乌克兰的主权和领土完整是至高无上的。为什么是波罗申科？48岁的波罗申科是乌克兰的企业家，政治家。1965年9月出生于乌克兰敖德萨州，1989年毕业于基辅国立大学。1996年，他创建如胜公司，并将其发展成为欧洲最大的糖果制造企业之一，被誉为“巧克力大王”。他曾出任乌克兰外交部长和经济部长。波罗申科是去年11月反政府示威开始之初，最早表示支持的乌克兰寡头。波罗申科被称为乌克兰政局的“变色龙”，他在尤先科与亚努科维奇政府中均任过职务，还与商业寡头维克多·麦德维多切克共事过，而后者与普京私交甚好而且被指控为此次克里米亚分裂提供资金支持。乌克兰舆论认为，波罗申科在民调中遥遥领先是有原因的。首先，波罗申科将自己的竞选纲领定名为“新生活”，拉近了他与民众的距离。他在竞选中承诺将“结束骚乱和战争”，如果当选，重建政府与民众之间的信任。　　其次，波罗申科是亿万富翁，乌克兰民众觉得金钱对他吸引力不大，不太会从事贪腐活动。另外，波罗申科相对温和，不像季莫申科那样不时发表过激言论，这位亲欧派富翁在东部地区也有不少支持者。美联社也认为，波罗申科以务实精神和肯于让步的态度获得选民支持。在强硬派占主导的乌克兰政界，愿意妥协是一项难能可贵的品质。波罗申科既主张乌克兰与欧盟发展关系，同时支持与俄罗斯保持良好关系。危机并未结束乌克兰大选的不寻常之处还在于外部势力的角力。俄罗斯曾对大选持反对态度，美欧方面则力挺乌克兰当局，还一再警告俄罗斯不得破坏选举。美欧从人力和财力上给予乌克兰空前支持。欧盟派出了史上规模最大的2784名观察员团，监督乌克兰选举，并宣布提供1000万欧元经费。美国宣布向乌克兰提供1140万美元的大选资助。“从目前的情况看，未来乌克兰对外政策的基本走向，是要向西方靠拢。”中国社科院俄罗斯外交研究室副主任姜毅说，“只是在这过程中，步骤有多快，特别是处理与俄罗斯的关系，这方面技术上拿捏到一个什么程度，恐怕现在还不是特别明显。”令人颇感微妙的是，俄罗斯总统普京23日在出席第18届圣彼得堡国际经济论坛时说，俄罗斯将尊重乌克兰大选结果，并愿与乌克兰新政权开展合作与对话。乌克兰与俄罗斯有着深刻的历史渊源，东部居民讲俄语者居多，在情感上更加倾向于俄罗斯。西部地区居民主要讲乌克兰语，对俄罗斯统治的历史有着很深的“敌意”。因此，乌克兰社会在政治、文化、语言甚至经济层面，没有形成统一国家共识。中国青年报驻俄罗斯首席记者关健斌指出，普京再三表示＂尊重乌克兰人民的选择＂，让人们相信乌克兰明天的总统大选会如期较顺利地举行。“大选可以让基辅政权合法化，但无法让乌克兰回到从前，乌克兰向何处去仍是谜。对未来的乌克兰而言，左右为难常有，左右逢源不常有。选举不是让乌克兰彻底稳定的灵丹妙药，虽然这个选举对于乌克兰很重要！”“大选实际上并不意味着乌克兰的这场危机划上了句号，而只是划上了一个分号。最头痛的还是经济问题。这一点目前来看，除了向国际求援，缓和一些局势以外，其他看不到任何出路。”姜毅说。
外交部回应中国黑客窃取机密报告，称美国“贼喊捉贼”,外交部：美方发现“中国网军”，是“黑客帝国”贼喊捉贼。IC图6月10日，针对美国网络安全公司Crowdstrike发布的报告称，他们有证据证明中国军队窃取他国网络机密，中国外交部发言人华春莹在10日的外交部例行记者会上做出回应，她表示“美方不思反省，不思检点，反而仍在无理指责和攻击别国，这样的做法不具任何建设性。”据《纽约时报》6月10日报道，美国网络公司Crowdstrike于9日发布的一份报告中提供了更多证据，进一步说明了中国从外国受害者那里窃取商业秘密和军事机密的范围和野心。该报告认为，数十家公共和私营行业机构所受到的攻击，与上海的一群黑客有关。根据对六名现任和前任美国官员的采访，美国国家安全局（NSA）及其合作伙伴认定这些黑客属于61486部队。这些官员称，NSA及其合作伙伴目前正在对中国的20多个黑客团体进行追踪，其中超过一半都隶属于中国人民解放军。对此，外交部发言人华春莹表示，相关报道的“一些用词和套路都似曾相识”，而她“对美方这种贼喊捉贼的做法很不以为然。”华春莹表示，美国长期以来对包括中国在内的很多外国政要、个人和企业进行了大规模、有组织的网络窃密和监听监控活动已是众所周知。地球人都知道美国自己就是“黑客帝国”。美国把自己装扮成受害者，不思反省的同时仍在在无理指责和攻击别国。对此，中方立场坚定，希望能够通过制定网络空间的国际规范和行为准则，构建和平、安全、开放、合作的网络空间，并且与国际社会继续加强对话合作，共同打击黑客攻击等网络犯罪行为。针对美方在网络间谍问题上的不断挑衅，中方曾多次公开表明立场。从去年2月美国Mandiant网络安全公司发布的《高级持续威胁：揭密中国从事网络间谍活动的单位》报告，再到今年5月，美国司法部以涉嫌窃密为由起诉5名61398部队的军官。中国外交部和国防部此前便明确表态，称中国是网络安全的坚定维护者，中国政府和军队及其相关人员从不从事或参与网络窃取商业机密活动，美方对中方人员的指责纯属无中生有，别有用心。
以色列黑客自称成功黑入并控制800辆车，涉及该国众多城市,6月11日，一个twitter名为@ISUN_HACKER以色列黑客发布一条推文称，成功黑入并控制了超过800辆汽车。@ISUN_HACKER推文根据@ISUN_HACKER这条推文的配图显示，被入侵的车辆，几乎遍布以色列所有城市。如果真如这位以色列黑客的推文所说，通过这个终端可以成功入侵这些私人汽车，并得以控制，那这些被黑入的车辆的行驶路线将能被这一终端实时监控。这位名叫@ISUN_HACKER在其twitter上称，“我不是一个专业人员，但我努力成为专业的。”根据这名黑客的5月30日的推文显示，当天有一处电子广告牌被这名黑客入侵，并将广告牌的内容改为“HACKBYSUNHACKER（被sunhacker入侵）”。对此这名黑客表示，这样做只是为了好玩。不过，这名黑客此举，并不是令所有人都觉得有趣的。有人表示说，“电子广告牌似乎应该要有更安全的系统，（被黑客入侵）有些吓人，他们还会修改别的什么吗？”随着汽车开始联网后，被如同SUNHAKER这样的黑客盯上的可能性也越来越高。一旦被一些心怀恶意的黑客远程入侵，并控制住汽车的发动机、制动器及方向盘等的电子控制单元（ECU）之后，所造成的影响将是无法估量。美国华盛顿大学的TadayoshiKohno等人在2011年发表的论文中就指出，黑客能够攻击车载通信设备的软件漏洞，远程打开车门锁、启动发动机。黑客可在自己家中攻击正在行驶的车辆，随意操作发动机等。而在2013年夏季举行的“DEFCON”黑客大会上，美国研究人员宣布成功入侵丰田及福特公司的车辆。英国伯明翰大学的FlavioD.Garcia和荷兰内梅亨大学的RoelVerdult和BarisEge也在撰写的论文中称，突破了奥迪、保时捷、宾利和兰博基尼等大众汽车集团旗下豪华车品牌的MegamosCrypto防护系统，发现了车辆内部的独特逻辑代码，识破了点火系统的程序设定。今年4月，在亚洲举行的“黑帽”安全大会上，以前瞻技术而著称的电动车特斯拉被指其安全系统存在多个设计缺陷，ModelS轿车的六位密码可以被轻易破解，即使没有遥控钥匙，黑客也能通过无线网络发出的指令对其进行解锁，然后进入该车系统窃取内容。事实上，在特斯拉遭到质疑之前，已经有车企因恶意收集用户数据，受到了舆论的谴责。2011年，通用汽车更改了安吉星的条款，称自己有权在消费者终止订购安吉星服务后，继续收集数据。而该“霸王条款”还表示，无论订购期间还是订购终止，通用都可以与其他公司共享汽车的使用信息。不过所幸的是，目前来看，远程控制还无法实现。但越来越多的电子装备出现在汽车上，也就意味着存在越来越多的安全漏洞，汽车被黑客侵入的机会越来越大。因此汽车安全受到黑客威胁这一问题，也受到越来越多汽车厂商的重视，而日本、欧洲、美国的各大公司也开始借助公共机构及IT业界团体的力量，全力研究应对措施。
香港《壹周刊》声称查明“公投黑客”，中国移动斥其捏造,中国移动驳斥香港《壹周刊》所谓“公投黑客”的报道。据新华网消息，在香港注册并上市的中国移动有限公司6月27日发布公司声明，驳斥香港《壹周刊》关于该公司涉嫌攻击“占中公投”投票系统的报道。《壹周刊》：公投黑客攻击查明来源由香港“和平占中”组织发起的针对特区行政长官普选方案的所谓“公民投票”，自6月20日开始电子投票。在香港注册并上市的中国移动有限公司（00941，HK）6月27日发布公司声明，驳斥香港《壹周刊》关于该公司涉嫌攻击“占中公投”投票系统的报道。由香港“和平占中”组织发起的针对特区行政长官普选方案的所谓“公民投票”，自6月20日开始电子投票。最新一期（1268期）的香港《壹周刊》声称获得一份攻击“占中公投”系统的黑客网络地址（IPAddress）分析报告，发现从6月14日晚上开始，黑客对投票系统位于香港和美国的服务器发动攻击，前三位攻击分别来自北京中科院辖下网络中心、中移动及俄罗斯科学院网络。《壹周刊》还声称，除了公投系统外，负责管理及注册本地“.hk”域名的香港互联网注册管理有限公司承认，自民间公投开始，本地域名服务器被黑客连番攻击，6月22日实地投票举行期间，更录得破纪录攻击强度，流量高达平时的100倍。中移动：保留采取进一步法律行动权利港交所上市公司中国移动有限公司在其官方网站发布声明说，香港《壹周刊》在1268期发表的有关“揪出公投黑客”的报道，对公司的业务及声誉造成严重伤害，因此特作声明。声明称，中国移动有限公司及所属公司从来没有进行任何有关报道所指的网络攻击，所报道内容纯属捏造。中移动将向《壹周刊》发出律师函，要求收回不实报道，并保留采取进一步法律行动的权利。《壹周刊》报道称，事件已交由警方跟进。对此，中移动表示将配合警方调查，以证清白。香港一些反对派人士6月20日发起所谓“全民电子投票”，试图挑战《基本法》，由他们制定2017年香港特首选举的规则。6月20日，国务院港澳办、中联办、香港特区政府均表示，这种所谓的“全民投票”是非法无效的。在投票开始前，组织投票一方声称网站受到“国家级黑客攻击”，这也被香港部分媒体解读为“为了刺激民众投票而耍苦肉计”，以票数胁迫中央。《壹周刊》是香港上市公司壹传媒旗下的综合性繁体中文杂志，创刊于1990年3月15日，创办人黎智英。该刊2006年成为全香港销量第二的周刊。附：中国移动有限公司声明一、中国移动有限公司及所属公司（以下简称本公司）从来没有进行任何有关报道所指的网络攻击，所报道内容纯属捏造。二、《壹周刊》报道称，事件已交由警方跟进，本公司欢迎及全力配合警方之调查，以证本公司清白。三、本公司将向《壹周刊》发出律师函，要求其收回不实报道，并保留采取进一步法律行动的权利。名词解释“占领中环”“占领中环”可以指向两个不同的集会及示威运动。第一个发生于2011年10月至2012年9月，部分香港市民占领了汇丰总行大厦地下广场。第二个是香港大学法律教授戴耀廷等人发起的所谓“占领中环”行为。戴耀廷等人于2013年1月发起占领中环行动。同年3月27日，戴耀廷等人发表“让爱与和平占领中环”信念书，一个月后，他们又成立了活动秘书处。实际上，戴耀廷等人企图于2013年7月或2014年初夏通过长期占领香港中环要道的方式达到争取特首普选的目的。“占中”投票据香港媒体报道，所谓的“和平占中”发起的投票时间安排在6月20日至6月22日（后调整为6月20日至6月29日），其间为网站或手机程序进行电子投票的时段，而6月22日为投票站实地投票，目前设置了15个投票站。投票设置了两道问题：1、就2017特首选举，支持“和平占中”向政府提交以下方案，在给出的选项有1.真普选联盟方案、2.人民力量方案、3.学界方案、4.弃权。投票设置的第二个问题是：如果政府方案不符国际标准让选民有真正选择，立法会应予否决。而给出的选项分别是：1.立法会应予否决、2.立法会不应否决、3.弃权。投票人设定的资格是全港选民，即18岁或以上香港永久性居民。
大学生黑客入侵学校网络“代刷”晨跑记录，获利数万被起诉,晨跑考勤制度让曹某和周某有机可趁。IC资料通过篡改校方晨跑数据的方式，上海立信会计学院学生周某以每次10-20元的价格替同学“代跑”，获利19000元，同学曹某为代刷晨跑提供“中介”服务，获利6000元。日前，两人被以破坏计算机信息系统罪移送上海市松江区检察院审查起诉。20岁的周某是上海立信会计学院会计专业的学生，进入大学后，晨跑成了他的一个难题。根据该校规定，男生每学期须完成20次晨跑，女生须完成18次，否则，体育课成绩和学年度《国家学生体质健康标准》成绩不及格。晨跑全程总长约1500米，不允许抄近道。为防止代跑，校方还将男女生晨跑的时间段错开，第一次刷卡时间男生从6时35分开始至6时50分结束，必须在7分钟里跑完全程；女生则从6时55分开始到7时10分结束，全程不得超过8分钟，超时无效。这时，周某想到了自己自学过的“黑客”技术，就尝试着进入学校晨跑管理系统的后台，修改数据。尝试成功后，他侵入了学校网站的体育成绩系统，并顺利修改了自己的晨跑数据。得手后，周某开始跟几个朋友炫耀此事，并帮他们修改数据。与此同时，许多学生慕名而来，甚至愿意出钱请他代刷，周某开始在论坛上发帖称可以替人“代跑”。同年级的学生曹某看到这条帖子，就联系周某，表示自己可以帮他拉到“客源”，分工合作赚钱。这一“代跑”组合很快运作了起来。曹某在同学中充当介绍人，并利用论坛、交易网站等发布“代跑”信息，每次“代跑”10元起步，到期末涨至20元。曹某将收集来的信息统计、打包后，再将需求反馈给周某，由周某统一处理，曹某则赚取其中的差价。随着周某的疯狂“入侵”，今年3月，学校方面察觉到网站后台被非法入侵，当即决定报警。很快周某、曹某被警方锁定。两人表示，只知道这样做不对，但没想到涉嫌犯罪，原先只不过想利用小聪明赚点零用钱，不想却将自己的前途搭了进去。检察官表示，破坏计算机信息系统罪是指违反国家规定，对计算机信息系统功能和信息系统中存储、处理、传输的数据和应用程序进行破坏，使计算机信息系统不能正常运行，后果严重的行为。
世界头条|美国网络公司称中国黑客窃中东情报，外交部驳斥,【美国网络公司：“中国黑客”曾目标中东情报】美国网络安全公司称，有证据显示有与中国政府有关的黑客组织曾攻击美国的伊拉克问题专家的电脑。（华盛顿邮报）对此外交部发言人洪磊在7月8日例行记者会上表示，“美国一些网络安全公司无视美国在网上对其他国家形成的威胁”，“拿出的所谓‘证据’根本站不住脚，不值一评”。（外交部）【日澳首脑签署EPA及防卫装备合作协议】日本首相安倍晋三与澳大利亚总理阿博特于8日签署了防卫装备合作相关协议及经济伙伴关系协定（EPA）。（共同社）【索马里总统府遭青年党武装攻击】7月8日，索马里青年党武装向总统府发动攻击，占领了总统府的部分区域。随后索马里安全部队击退了青年党的攻击，大多数袭击者已被打死。据悉事发时索马里总统不在总统府内。（路透社）【“老年性痴呆症”或将可以预测】据发布在《阿尔茨海默氏症和痴呆症》期刊上的一份研究报告称，英国科学家通过血液测试确定出一组可以预报痴呆症开始时间的蛋白质，准确率达87%。但目前这种血液检验尚不能用于临床诊治。（BBC）【俄罗斯呼吁乌克兰立即停火和停止动用武力】俄罗斯外长拉夫罗夫在斯罗文尼亚于7月8日发表声明称，俄罗斯主张立即在乌克兰停火和停止动用武力，并希望欧盟将坚持执行7月2日在柏林就乌克兰问题达成的协议。（VOA）【对抗哈马斯炮火，以色列再空袭加沙】以色列军方再次向加沙地带发动空袭行动，借此回击巴勒斯坦武装组织哈马斯近日对以色列南部发动的新一轮的火箭弹攻击。（NBC）
快新闻|美国多家媒体报道中国黑客获取美政府数据,《赫芬顿邮报》头条，《纽约时报》大幅报道中国黑客获取美国数据。在奥巴马宣布11月份访华，美国国务卿克里来华对话之际，《纽约时报》和《赫芬顿邮报》等美国媒体大幅报道中国黑客获取美国数据。据美国媒体报道，美方高级官员称中国黑客三月闯入美国政府部门存储联邦雇员信息用电脑网络。其目标是针对申请最高机密安全审查工作的雇员。报道称，黑客进入了人员管理办公室的一部分数据库，在联邦政府检测出威胁之前将其屏蔽在外。现在尚无定论黑客是如何黑近系统。该系统是申请人进行安全审核所用——包括国外通讯方式，过往工作以及个人信息，包括药物史。美国国土安全局对质疑指控的问题回应称，攻击确实出现了，但是数据信息是否丢失尚未确信。一名高级官员称攻击来源自中国，但是并不能肯定黑客是否隶属于中国政府。据悉，美国国务卿克里授信披露此次攻击，而克里本人正在北京参加年度战略经济对话——中美双边经济关系论坛——同时两国也将讨论共同防御事宜。电脑入侵本身是中美两国的一大论题，同时也是两国存在争议之处，此前，中国提出爱德华J.斯诺登的证据表明国家安全局（NSA）深入中国电子网络设备制造商华为的电子系统，并写入程序截听中国领导人与军方对话信息。美国官员称此次对人事管理办公室的攻击非常重大，这是因为即便黑客每天都会尝试黑入美国系统，他们从未成功过。上一次美国承认收到攻击的部门是能源局。2013年，黑客当时成功地获取了员工以及合约商的个人信息。能源局因为保密政策对个人信息的保护条例而不得不公开此次攻击。5月，美国司法机构指控中国解放军某部队的中国黑客窃取合作信息——同时，该部队和其他中国人民解放军相关部队曾被指控潜入美国政府计算机系统，其中包括美国的保密办公室。另外，保密安全调查员还检测到另一来自上海的中国军事部队。调查员称虽然他们进行了指控，但该部队并没有缩小黑客攻击的规模。中国官方对美国媒体有关黑客攻击的指责曾有过回复。6月10日，针对美国网络安全公司Crowdstrike发布的报告称，他们有证据证明中国军队窃取他国网络机密，中国外交部发言人华春莹在10日的外交部例行记者会上做出回应，她表示“美方不思反省，不思检点，反而仍在无理指责和攻击别国，这样的做法不具任何建设性。”华春莹表示，美国长期以来对包括中国在内的很多外国政要、个人和企业进行了大规模、有组织的网络窃密和监听监控活动已是众所周知。地球人都知道美国自己就是“黑客帝国”。美国把自己装扮成受害者，不思反省的同时仍在在无理指责和攻击别国。
